date,game_id,home,away,home_score,away_score,stadium,start_time
2025-08-16,GAME20250816YGHT0632,巨人,阪神,0,3,東京ドーム,14:04
2025-08-16,GAME20250816HCYS0633,広島,ヤクルト,5,3,マツダスタジアム,18:00
2025-08-17,GAME20250817YGHT0638,巨人,阪神,1,3,東京ドーム,13:00
2025-08-17,GAME20250817CDDB0637,中日,DeNA,4,5,バンテリンドーム,13:30
2025-08-17,GAME20250817HCYS0639,広島,ヤクルト,2,7,マツダスタジアム,18:01
2025-08-19,GAME20250819HTCD0646,阪神,中日,5,4,京セラD大阪,18:00
2025-08-19,GAME20250819YSYG0643,ヤクルト,巨人,2,15,神　宮,18:00
2025-08-19,GAME20250819DBHC0642,DeNA,広島,1,3,横　浜,18:01
2025-08-20,GAME20250820DBHC0648,DeNA,広島,7,4,横　浜,18:00
2025-08-20,GAME20250820HTCD0652,阪神,中日,1,2,京セラD大阪,18:00
2025-08-20,GAME20250820YSYG0649,ヤクルト,巨人,7,2,神　宮,18:02
2025-08-21,GAME20250821DBHC0653,DeNA,広島,2,5,横　浜,18:00
2025-08-21,GAME20250821YSYG0654,ヤクルト,巨人,1,7,神　宮,18:01
2025-08-22,GAME20250822YGDB0659,巨人,DeNA,8,1,東京ドーム,18:00
2025-08-22,GAME20250822YSHT0657,ヤクルト,阪神,1,3,神　宮,18:00
2025-08-22,GAME20250822HCCD0660,広島,中日,4,6,マツダスタジアム,18:01
2025-08-23,GAME20250823YGDB0665,巨人,DeNA,4,1,東京ドーム,14:00
2025-08-23,GAME20250823HCCD0666,広島,中日,2,5,マツダスタジアム,18:00
2025-08-23,GAME20250823YSHT0663,ヤクルト,阪神,2,2,神　宮,18:00
2025-08-24,GAME20250824YGDB0671,巨人,DeNA,2,4,東京ドーム,14:00
2025-08-24,GAME20250824YSHT0669,ヤクルト,阪神,1,8,神　宮,17:01
2025-08-24,GAME20250824HCCD0672,広島,中日,5,4,マツダスタジアム,18:00
2025-08-26,GAME20250826DBHT0676,DeNA,阪神,2,3,横　浜,17:46
2025-08-26,GAME20250826CDYS0677,中日,ヤクルト,0,2,バンテリンドーム,18:00
2025-08-26,GAME20250826HCYG0678,広島,巨人,4,1,マツダスタジアム,18:00
2025-08-27,GAME20250827DBHT0682,DeNA,阪神,1,2,横　浜,17:46
2025-08-27,GAME20250827CDYS0683,中日,ヤクルト,3,0,バンテリンドーム,18:00
2025-08-27,GAME20250827HCYG0684,広島,巨人,3,2,マツダスタジアム,19:00
2025-08-28,GAME20250828DBHT0687,DeNA,阪神,5,4,横　浜,17:45
2025-08-28,GAME20250828CDYS0688,中日,ヤクルト,4,3,バンテリンドーム,18:00
2025-08-28,GAME20250828HCYG0689,広島,巨人,8,3,マツダスタジアム,18:02
2025-08-29,GAME20250829DBCD0690,DeNA,中日,8,9,横　浜,18:00
2025-08-29,GAME20250829YSHC0691,ヤクルト,広島,2,4,神　宮,18:00
2025-08-29,GAME20250829HTYG0694,阪神,巨人,3,4,甲子園,18:01
2025-08-30,GAME20250830DBCD0696,DeNA,中日,7,9,横　浜,18:01
2025-08-30,GAME20250830HTYG0700,阪神,巨人,3,2,甲子園,18:01
2025-08-30,GAME20250830YSHC0697,ヤクルト,広島,5,4,神　宮,18:01
2025-08-31,GAME20250831YSHC0703,ヤクルト,広島,7,4,神　宮,17:00
2025-08-31,GAME20250831DBCD0702,DeNA,中日,2,0,横　浜,18:01
2025-08-31,GAME20250831HTYG0706,阪神,巨人,5,4,甲子園,18:01
2025-09-02,GAME20250902CDHT0710,中日,阪神,3,5,バンテリンドーム,18:00
2025-09-02,GAME20250902HCDB0712,広島,DeNA,5,8,マツダスタジアム,18:00
2025-09-02,GAME20250902YGYS0711,巨人,ヤクルト,4,1,京セラD大阪,18:00
2025-09-03,GAME20250903CDHT0716,中日,阪神,5,2,バンテリンドーム,18:00
2025-09-03,GAME20250903HCDB0718,広島,DeNA,2,1,マツダスタジアム,18:00
2025-09-03,GAME20250903YGYS0717,巨人,ヤクルト,5,3,京セラD大阪,18:00
2025-09-04,GAME20250904CDHT0722,中日,阪神,5,7,バンテリンドーム,18:00
2025-09-04,GAME20250904YGYS0723,巨人,ヤクルト,1,12,岐　阜,18:00
2025-09-04,GAME20250904HCDB0724,広島,DeNA,0,1,マツダスタジアム,18:01
2025-09-05,GAME20250905CDYG0728,中日,巨人,1,0,バンテリンドーム,18:00
2025-09-05,GAME20250905DBYS0727,DeNA,ヤクルト,7,6,横　浜,18:00
2025-09-05,GAME20250905HTHC0729,阪神,広島,6,1,甲子園,18:01
2025-09-06,GAME20250906CDYG0734,中日,巨人,4,5,バンテリンドーム,14:00
2025-09-06,GAME20250906DBYS0733,DeNA,ヤクルト,2,3,横　浜,18:00
2025-09-06,GAME20250906HTHC0735,阪神,広島,4,1,甲子園,18:01
2025-09-07,GAME20250907CDYG0740,中日,巨人,3,6,バンテリンドーム,13:30
